Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Manufacturer_Part_Number
1,Unpolarized capacitor,C,C2,100nF,C_0805_2012Metric,1, ,~,,,,,
2,Unpolarized capacitor,C,C1,10uF,C_0805_2012Metric,1, ,~,,,,,
3,"Sensor Pressure 1.2bar Barometric SMD MS561101BA03-50, Barometric Pressure Sensor, 1200mbar 0  3.6 V Output, 8-Pin QFN",MS561101BA03-50,IC1,MS561101BA03-50,MS561101BA03-50,1, ,https://www.te.com/usa-en/product-MS561101BA03-50.datasheet.pdf,,824-MS561101BA03-50,https://www.mouser.co.uk/ProductDetail/Measurement-Specialties/MS561101BA03-50?qs=%252BgKeJhng5iV%252BnCz6Qd5iDw%3D%3D,TE Connectivity,MS561101BA03-50
4,2x03 2.54 mm pitch header,HEADER_2x03,J2,HEADER_2x03,Straight_2x03,1, ,,,,,,
5,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,HEADER_2x03_PARALLEL,Straight_2x03,1, ,,,,,,
6,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J3,HEADER_2x05_PARALLEL,Straight_2x05,1, ,,,,,,





Project info:
Schematic:,ALTIMET02A
Variant:,default
Revision:,A
Date:,2023-01-18
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,7
Component Count:,8
Fitted Components:,6
Number of PCBs:,1
Total Components:,6
